Date,Open,High,Low,Close,Adj Close,Volume
2014-08-20,21.120001,21.120001,21.120001,21.120001,18.434233,0
2014-08-21,21.150000,21.150000,21.150000,21.150000,18.460419,0
2014-08-22,21.090000,21.090000,21.090000,21.090000,18.408052,0
2014-08-25,21.180000,21.180000,21.180000,21.180000,18.486599,0
2014-08-26,21.200001,21.200001,21.200001,21.200001,18.504065,0
2014-08-27,21.180000,21.180000,21.180000,21.180000,18.486599,0
2014-08-28,21.160000,21.160000,21.160000,21.160000,18.469145,0
2014-08-29,21.190001,21.190001,21.190001,21.190001,18.495333,0
2014-09-02,21.170000,21.170000,21.170000,21.170000,18.477875,0
2014-09-03,21.219999,21.219999,21.219999,21.219999,18.521517,0
2014-09-04,21.230000,21.230000,21.230000,21.230000,18.530243,0
2014-09-05,21.330000,21.330000,21.330000,21.330000,18.617527,0
2014-09-08,21.240000,21.240000,21.240000,21.240000,18.538969,0
2014-09-09,21.160000,21.160000,21.160000,21.160000,18.469145,0
2014-09-10,21.209999,21.209999,21.209999,21.209999,18.512787,0
2014-09-11,21.209999,21.209999,21.209999,21.209999,18.512787,0
2014-09-12,21.100000,21.100000,21.100000,21.100000,18.416780,0
2014-09-15,21.120001,21.120001,21.120001,21.120001,18.434233,0
2014-09-16,21.270000,21.270000,21.270000,21.270000,18.565155,0
2014-09-17,21.290001,21.290001,21.290001,21.290001,18.582617,0
2014-09-18,21.389999,21.389999,21.389999,21.389999,18.669897,0
2014-09-19,21.250000,21.250000,21.250000,21.250000,18.639194,0
2014-09-22,21.129999,21.129999,21.129999,21.129999,18.533936,0
2014-09-23,20.969999,20.969999,20.969999,20.969999,18.393599,0
2014-09-24,21.150000,21.150000,21.150000,21.150000,18.551483,0
2014-09-25,20.840000,20.840000,20.840000,20.840000,18.279575,0
2014-09-26,21.020000,21.020000,21.020000,21.020000,18.437456,0
2014-09-29,20.969999,20.969999,20.969999,20.969999,18.393599,0
2014-09-30,20.889999,20.889999,20.889999,20.889999,18.323427,0
2014-10-01,20.629999,20.629999,20.629999,20.629999,18.095371,0
2014-10-02,20.680000,20.680000,20.680000,20.680000,18.139229,0
2014-10-03,20.879999,20.879999,20.879999,20.879999,18.314655,0
2014-10-06,20.879999,20.879999,20.879999,20.879999,18.314655,0
2014-10-07,20.580000,20.580000,20.580000,20.580000,18.051516,0
2014-10-08,20.920000,20.920000,20.920000,20.920000,18.349751,0
2014-10-09,20.520000,20.520000,20.520000,20.520000,17.998888,0
2014-10-10,20.389999,20.389999,20.389999,20.389999,17.884857,0
2014-10-13,20.070000,20.070000,20.070000,20.070000,17.604176,0
2014-10-14,20.139999,20.139999,20.139999,20.139999,17.665577,0
2014-10-15,20.020000,20.020000,20.020000,20.020000,17.560326,0
2014-10-16,20.030001,20.030001,20.030001,20.030001,17.569096,0
2014-10-17,20.260000,20.260000,20.260000,20.260000,17.770834,0
2014-10-20,20.400000,20.400000,20.400000,20.400000,17.893635,0
2014-10-21,20.680000,20.680000,20.680000,20.680000,18.139229,0
2014-10-22,20.559999,20.559999,20.559999,20.559999,18.033974,0
2014-10-23,20.790001,20.790001,20.790001,20.790001,18.235722,0
2014-10-24,20.910000,20.910000,20.910000,20.910000,18.340973,0
2014-10-27,20.879999,20.879999,20.879999,20.879999,18.314655,0
2014-10-28,21.100000,21.100000,21.100000,21.100000,18.507629,0
2014-10-29,21.080000,21.080000,21.080000,21.080000,18.490088,0
2014-10-30,21.190001,21.190001,21.190001,21.190001,18.586569,0
2014-10-31,21.440001,21.440001,21.440001,21.440001,18.805857,0
2014-11-03,21.379999,21.379999,21.379999,21.379999,18.753225,0
