timestamp,open,high,low,close,adjusted close,volume,dividend amount
2016-09-09,112.3600,112.7600,111.7300,111.7300,99.4362,10954866,0.0000
2016-09-02,112.5500,112.7100,112.0500,112.3100,99.9524,12401647,0.2076
2016-08-26,112.6600,112.8572,112.2800,112.3400,99.7949,10831735,0.0000
2016-08-19,112.5700,112.7799,112.3550,112.4800,99.9192,18662203,0.0000
2016-08-12,112.1600,112.8300,112.0300,112.6300,100.0525,12467976,0.0000
2016-08-05,112.5000,112.6780,112.1000,112.1700,99.6438,15048415,0.2067
2016-07-29,112.5800,113.0300,112.3149,113.0200,100.2149,14580161,0.0000
2016-07-22,112.4900,112.6100,112.2000,112.5300,99.7804,10502700,0.0000
2016-07-15,113.1900,113.2400,112.2200,112.2600,99.5410,15715463,0.0000
2016-07-08,113.0300,113.2700,112.8650,113.2500,100.4188,13923162,0.0000
2016-07-01,112.3300,112.7700,112.3100,112.6500,99.8868,18106024,0.2125
2016-06-24,111.5700,112.1500,111.2500,111.8600,98.9996,11463075,0.0000
2016-06-17,111.5700,112.0699,111.5300,111.7900,98.9376,10529028,0.0000
2016-06-10,111.1700,111.6575,111.0700,111.5200,98.6987,10496151,0.0000
2016-06-03,110.4100,111.3000,110.3600,111.3000,98.5040,10534879,0.2182
2016-05-27,110.5400,110.7300,110.3400,110.6300,97.7179,10526940,0.0000
2016-05-20,111.1900,111.1900,110.3150,110.5400,97.6384,12922604,0.0000
2016-05-13,111.1100,111.2600,110.9200,111.2000,98.2214,10234568,0.0000
2016-05-06,110.7400,111.1600,110.5200,110.9700,98.0182,15246249,0.2052
2016-04-29,110.5200,110.9500,110.2259,110.8900,97.7662,22300133,0.0000
2016-04-22,110.9100,111.0300,110.4500,110.5200,97.4400,13030261,0.0000
2016-04-15,110.8700,110.9800,110.6400,110.9500,97.8191,10648232,0.0000
2016-04-08,110.6000,111.0500,110.5100,110.8800,97.7574,12352189,0.0000
2016-04-01,110.1500,110.8500,110.0800,110.5100,97.4312,19946610,0.2215
